state,season,week_ending_date,age_category,sex,race,rate,cumulative_rate
Utah,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,1.3,34.2
Maryland,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0,13.2
Tennessee,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0.2,16.2
RSV-NET,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0.3,17.7
Oregon,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0.8,10.9
Connecticut,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0,19.3
Michigan,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0,28.7
New York,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0.8,25.8
Georgia,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0.1,6
New Mexico,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,1.9,51.2
Colorado,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0,36.1
California,2022-23,2023-01-07T00:00:00.000,5-17 years,All,All,0.4,10.4
Colorado,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.2,36.3
California,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.6,11
Utah,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.9,35.1
Maryland,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.4,13.7
Tennessee,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0,16.2
RSV-NET,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.3,18
Oregon,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.4,11.3
Connecticut,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0,19.3
Michigan,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.5,29.2
New York,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0,25.8
Georgia,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0.1,6.1
New Mexico,2022-23,2023-01-14T00:00:00.000,5-17 years,All,All,0,51.2
Utah,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,35.1
Maryland,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,13.7
Tennessee,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0.6,16.8
RSV-NET,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0.1,18.1
Oregon,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,19.3
New York,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0.4,26.1
Michigan,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,29.2
Georgia,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0.1,6.3
New Mexico,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,1,52.2
Colorado,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,36.3
California,2022-23,2023-01-21T00:00:00.000,5-17 years,All,All,0,11
Colorado,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,36.3
California,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,11
Utah,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0.4,35.5
Maryland,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0.2,13.9
Tennessee,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,16.8
RSV-NET,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0.1,18.2
Oregon,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,19.3
New York,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0.4,26.5
Michigan,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,29.2
Georgia,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0.3,6.5
New Mexico,2022-23,2023-01-28T00:00:00.000,5-17 years,All,All,0,52.2
Utah,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0.4,36
Maryland,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0,16.8
RSV-NET,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0.1,18.4
Georgia,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0.1,6.7
Oregon,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0.7,19.9
Michigan,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0.5,29.8
New York,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0,26.5
New Mexico,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0,52.2
Colorado,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0.5,36.8
California,2022-23,2023-02-04T00:00:00.000,5-17 years,All,All,0,11
Colorado,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.2,37
California,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.4,11.4
Utah,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,36
Maryland,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.2,17
RSV-NET,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.2,18.5
Oregon,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,11.3
New York,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,26.5
Connecticut,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.7,20.6
Michigan,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0,29.8
Georgia,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,0.1,6.8
New Mexico,2022-23,2023-02-11T00:00:00.000,5-17 years,All,All,1,53.1
Utah,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.4,36.4
Maryland,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.1,18.7
New York,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,26.5
Oregon,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,11.3
Connecticut,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,1.3,21.9
Michigan,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,29.8
Georgia,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.1,7
New Mexico,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,1,54.1
Colorado,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0.2,37.2
California,2022-23,2023-02-18T00:00:00.000,5-17 years,All,All,0,11.4
Colorado,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,37.2
California,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,11.4
Utah,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,18.7
Georgia,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,7
Oregon,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,11.3
New York,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,26.5
Connecticut,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,21.9
Michigan,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,29.8
New Mexico,2022-23,2023-02-25T00:00:00.000,5-17 years,All,All,0,54.1
Utah,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,36.4
Maryland,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,13.9
Tennessee,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,8.5
Minnesota,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0,17
RSV-NET,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0.1,18.8
Georgia,2022-23,2023-03-04T00:00:00.000,5-17 years,All,All,0.3,7.2
